date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:59	289379/289379	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:56%20GMT	https://themes.pixelstrap.com/fastkart/front-end/index.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/index.html	(from )
08:57:59	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Aug%202018%2016:00:10%20GMT	https://themes.pixelstrap.com/robots.txt		(from )
08:57:59	404/404	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:00	197580/197580	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202024%2007:27:07%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:00	63504/63504	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/animate.min.css	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/css/animate.min.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:01	7799/7799	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:01	204806/204806	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Feb%202024%2003:49:05%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/vendors/animate.css	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/css/vendors/animate.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:01	824227/824227	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202024%2007:27:03%20GMT	https://themes.pixelstrap.com/fastkart/assets/css/style.css	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/css/style.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:01	258881/258881	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/shop-left-sidebar.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:01	7078/7078	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/united-states.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/country/united-states.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:02	3536/3536	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/united-kingdom.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/country/united-kingdom.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:02	659/659	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/germany.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/country/germany.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:02	4107/4107	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/country/turkish.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/country/turkish.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:02	4960/4960	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/logo/1.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/logo/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:03	116348/116348	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/contact-us.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/contact-us.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:03	141613/141613	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:53%20GMT	https://themes.pixelstrap.com/fastkart/front-end/wishlist.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/wishlist.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:03	235866/235866	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:53%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-left-thumbnail.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-left-thumbnail.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:03	9847/9847	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/product/1.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/vegetable/product/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:04	11150/11150	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/vegetable/product/2.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/vegetable/product/2.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:04	136478/136478	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/cart.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/cart.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
